NAME,COMMON,BINOMIAL,FAMILY
snake plant,golden bird's nest|mother-in-law’s tongue|good luck plant,sansevieria trifasciata,agavaceae
solomon’s lily,black calla|wild calla|wild arum,arum palestinum,araceae
sorrel,common sorrel|spinach-dock|narrow-leaved dock|garden sorrel,rumex scutatus,polygonaceae
sowbread,cyclamen,cyclamen spp,primulaceae
spanish thyme,indian borage|bread and butter plant|coleus|east indian thyme|stinging thyme|country boarage,coleus ampoinicus,labiatae
spindle tree,wahoo|burning bush,euonymus atropurpurea,celastraceae
split leaf philodendron,horsehead philodendron|cordatum|heartleaf philodendron|panda plant|fiddle-leaf|fruit salad plant|red emerald|red princess|saddle leaf,philodendron bipennifolium,araceae
spotted dumb cane,charming dieffenbachia|giant dumb cane|tropic snow|dumbcane|exotica|exotica perfection|dieffenbachia,dieffenbachia amoena,araceae
sprengeri fern,asparagus|emerald feather|emerald fern|plumosa fern|lace fern|racemose asparagus|shatavari,asparagus densiflorus cv sprengeri,liliaceae
spring parsley,,cymopterus watsonii,apiaceae
st. john’s wort,klamath weed,hypericum perforatum,clusiaceae
staggerbush,fetterbush|maleberry,lyonia sp.,ericaceae
starch root,arum|lord-and-ladies|adam-and-eve|wake robin|bobbins|cuckoo plant,arum maculatum,araceae
stargazer lily,,lilium orientalis,liliaceae
starleaf,schefflera|umbrella tree|octopus tree|australian ivy palm,brassaia actinophylla,araliaceae
stinking chamomile,mayweed|poison daisy,anthemis cotula,asteraceae
straight-margined dracaena,red-margined dracaena,dracaena marginata,agavaceae
striped dracaena,warneckii|janet craig plant,dracaena deremensis,agavaceae
superb lily,glory lily|climbing lily|gloriosa lily,gloriosa superba,liliaceae
sweet cherry,,prunus avium,rosaceae
sweet pea,perennial pea|everlasting pea,lathyrus latifolius,fabaceae
sweet william,carnation|wild carnation|pinks,dianthus caryophyllus,caryophyllaceae
sweetheart ivy,english ivy|glacier ivy|needlepoint ivy|branching ivy|california ivy,hedera helix,araliaceae
swiss cheese plant,cutleaf philodendron|hurricane plant|ceriman|mexican breadfruit,monstera deliciosa,araceae
tahitian bridal veil,gibasis geniculata,tradescantia multiflora,commelinaceae
tail flower,flamingo plant|flamingo lily|oilcloth flower|pigtail plant|painter's pallet,anthurium scherzeranum,araceae
taro,caladium|elephant ears|pai|ape|cape|via|via sori|malanga,caladium hortulanum,araceae
taro vine,golden pothos|devil's ivy|devil's vine|ivy arum,epipremnum aureum,araceae
tarragon,french tarragon|estragon,artemisia dracunculus,asteraceae
texas umbrella tree,china ball tree|paradise tree|persian lilac|white cedar|japanese bead tree|bead tree|pride-of-india|chinaberry tree,melia azedarach,meliaceae
ti-plant,baby doll ti plant|hawaiian ti plant,cordyline terminalis,agavaceae
tiger lily,,lilium tigrinum,liliaceae
tobacco,tree tobacco|nicotiana|mustard tree,nicotiana glauca,solanaceae
tomato plant,,lycopersicon spp,solanaceae
tree philodendron,,philodendron selloum,araceae
tree tobacco,nicotania|tobacco|mustard tree,nicotiana glauca,solanaceae
tropic snow,charming dieffenbachia|giant dumb cane|dumbcane|exotica|exotica perfection|dieffenbachia,dieffenbachia amoena,araceae
true aloe,medicine plant|aloe|barbados aloe,aloe barbadensis,aloaceae
trumpet lily,calla lily|pig lily|white arum|arum lily|florist's calla|garden calla|arum lily,zantedeschia aethiopica,araceae
tulip,,tulipa spp.,liliaceae
umbrella leaf,indian apple root|american mandrake|wild lemon|hog apple|duck's foot|raccoonberry|american mandrake,podophyllum peltatum,berberidaceae
umbrella tree,schefflera|australian ivy palm|octopus tree|starleaf,brassaia actinophylla,araliaceae
variable dieffenbachia,,dieffenbachia picta,araceae
variegated inch plant,speedy henry,tradescantia flumeninsis,commelinaceae
variegated laurel,speedy henry,tradescantia flumeninsis,commelinaceae
variegated philodendron,,scindapsus,philodendron spp,araceae
vinca,periwinkle|running myrtle,vinca rosea,apocynaceae
virgin's bower,clematis|leatherflower,clematis sp.,ranunculaceae
wahoo,burning bush|spindle tree,euonymus occidentalis,celastraceae
wake robin,arum|lord-and-ladies|adam-and-eve|starch root|bobbins|cuckoo plant,arum maculatum,araceae
warneckei dracaena,striped dracaena|janet craig plant,dracaena deremensis,asparagaceae
water flag,iris|snake lily|flag,iris species,iridaceae
water hemlock,cowbane|poison parsnip,cicuta maculata,apiaceae
wax-leaf,privet|amur|common privet,ligustrum japonicum,oleaceae
weeping fig,fig|indian rubber plant,ficus sp.,moraceae
western yew,english yew|pacific yew|japanese yew|anglo-japanese yew,taxus brevifolia,taxaceae
white heads,ranger's button,sphenosciadium capitellatum,apiaceae
wild arum,black calla|wild calla|solomon's lily,arum palestinum,araceae
wild calla,black calla|wild arum|solomon's lily,arum palestinum,araceae
wild carnation,carnation|sweet william|pinks,dianthus caryophyllus,caryophyllaceae
wild coffee,geranium-leaf aralia|coffee tree,polyscias guilfoylei,araliaceae
winter cherry,natal cherry|jerusalem cherry,solanum pseudocapsicum,solanaceae
winterberry,english holly|european holly|oregon holly|inkberry|american holly,ilex opaca,aquifoliaceae
wisteria,,wisteria spp.,fabaceae
wood lily,,lilium umbellatum,liliaceae
yarrow,milfoil,achillea millefolium,compositae
yellow oleander,,thevetia peruviana,apocynaceae
yesterday-today-tomorrow,morning-noon-and-night|kiss-me-quick|lady-of-the-night|fransiscan rain tree|brunfelsia,brunfelsia species,solanaceae
yew,japanese yew,taxus spp.,taxaceae
yew pine,buddhist pine,podocarpus macrophylla,podocarpacaea
yucca,,yucca spp.,agavaceae
